MoleculeID,Clint_exp,Clint_pred,Clint_predRange,AD_Clint,AD_index_Clint,Conf_index_Clint,Clint_CAS_neighbor_1,Clint_CAS_neighbor_2,Clint_CAS_neighbor_3,Clint_CAS_neighbor_4,Clint_CAS_neighbor_5,Clint_InChiKey_neighbor_1,Clint_InChiKey_neighbor_2,Clint_InChiKey_neighbor_3,Clint_InChiKey_neighbor_4,Clint_InChiKey_neighbor_5,Clint_DTXSID_neighbor_1,Clint_DTXSID_neighbor_2,Clint_DTXSID_neighbor_3,Clint_DTXSID_neighbor_4,Clint_DTXSID_neighbor_5,Clint_Exp_neighbor_1,Clint_Exp_neighbor_2,Clint_Exp_neighbor_3,Clint_Exp_neighbor_4,Clint_Exp_neighbor_5,Clint_pred_neighbor_1,Clint_pred_neighbor_2,Clint_pred_neighbor_3,Clint_pred_neighbor_4,Clint_pred_neighbor_5,maxHBint2,minHBint2,SHBd,nN,BCUTp_1h,minHBa,MLFER_A,ndO,nBase,GATS5e,SRW4,MDEO_12,AATS1i,MLFER_BO,SpMax4_Bhm,maxHBint9,ETA_dBetaP,ATSC0p,ATS3p,XLogP,maxHssNH,minHBint10,khs_ssNH,nssNH,mindssS,nTG12Ring,ATS4i,SRW6,MPC5,khs_ddsN,SdCH2,nF6Ring,nHBint7
DTXSID5020281,400,399.37,[391.02:400],1,1,0.824,100-00-5,99-54-7,100-01-6,98-95-3,99-08-1,CZGCEKJOLUNIFY-UHFFFAOYSA-N,NTBYINQTYWZXLH-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,DTXSID5020281,DTXSID8024999,DTXSID8020961,DTXSID3020964,DTXSID5021831,400,387,23.6,8.17,16.82,44.79,131.09,11.44,63.52,60.18,0,0,0,1,8.35000775266023,0.776433610481229,0.003,1,0,2.17440201237682,4.29045944114839,0,148.484732765757,-0.132,2.61918191383971,0,0.35,3.70736780128286,38.851002369698,2.536,0,0,0,0,0,0,3394.07506127648,5.73334127689775,16,1,0,0,0
DTXSID8020961,23.6,23.59,[23.25:23.93],1,1,0.919,100-01-6,99-55-8,100-02-7|824-78-2|,99-59-2,443-48-1,TYMLOMAKGOJONV-UHFFFAOYSA-N,DSBIJCMXAIKKKI-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,NIPDVSLAMPAWTP-UHFFFAOYSA-N,VAOCPAMSLUNLGC-UHFFFAOYSA-N,DTXSID8020961,DTXSID4020959,DTXSID0021834| DTXSID3027320,DTXSID0020943,DTXSID2020892,23.6,22.4,25.95,12.03,3,11.44,10.59,18.8,12.73,13.95,0,0,0.571306689342404,2,7.5846451484445,5.30421768707483,0.334,1,0,1.55752317190237,4.29045944114839,0,155.731715104638,0.194,2.61132647279975,0,0.35,3.24986056918375,38.257706729698,1.097,0,0,0,0,0,0,4806.47788837849,5.73334127689775,16,1,0,0,0
DTXSID0021834,NaN,25.94,[25.77:25.95],1,0.998,0.958,100-02-7|824-78-2|,100-01-6,99-55-8,99-99-0,99-08-1,BTJIUGUIPKRLHP-UHFFFAOYSA-N,TYMLOMAKGOJONV-UHFFFAOYSA-N,DSBIJCMXAIKKKI-UHFFFAOYSA-N,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,DTXSID0021834| DTXSID3027320,DTXSID8020961,DTXSID4020959,DTXSID5023792,DTXSID5021831,25.95,23.6,22.4,19.32,16.82,18.8,11.44,10.59,64.78,60.18,0,0,0.718398526077098,1,7.54583642730613,8.71585034013605,0.722,1,0,1.54930355961495,4.29045944114839,0,151.419630649517,0.179,2.55554524367989,0,0.35,3.14551520416333,34.637889481698,1.508,0,0,0,0,0,0,4095.1687836689,5.73334127689775,16,1,0,0,0
DTXSID3032622,NaN,4.35,[1.11:18.3],1,0.206,0.428,54-85-3,1596-84-5,16752-77-5,95-25-0,587-65-5,QRXWMOHMRWLFEY-UHFFFAOYSA-N,NOQGZXFMHARMLW-UHFFFAOYSA-N,UHXUZOCRWCRNSJ-UHFFFAOYSA-N,TZFWDZFKRBELIQ-UHFFFAOYSA-N,VONWPEXRCLHKRJ-UHFFFAOYSA-N,DTXSID8020755,DTXSID9020370,DTXSID1022267,DTXSID9022813,DTXSID3041409,1.11,2.29,2.05,10.96,38.9,6.15,2.5,2.08,15.04,6.68,7.69727961033951,7.69727961033951,0.759027777777778,1,6.71204434633005,2.13773148148148,0.003,1,0,1.74029589122263,3.93182563272433,0.333333333333333,154.898789424408,0.503,2.01703050395041,0,-0.21429,2.39618637914292,17.231790076,0.00799999999999995,0.759027777777778,0,0,1,0,0,2098.4275185825,5.30330490805908,5,0,0,0,0
DTXSID2044347,NaN,0,[0:341.96],1,0.655,0.198,496-72-0,95-80-7,136-60-7,91-64-5,98-86-2,DGRGLKZMKWPMOH-UHFFFAOYSA-N,VOZKAJLKRJDJLL-UHFFFAOYSA-N,XSIFPSYPOVKYCO-UHFFFAOYSA-N,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,KWOLFJPFCHCOCG-UHFFFAOYSA-N,DTXSID9024930,DTXSID4020402,DTXSID8040694,DTXSID7020348,DTXSID6021828,8.27,0,864,0,0,0,0,862.14,20.44,47,0,0,0,0,8.4280386072272,4.93760959939531,0.003,1,0,0.632161978881137,4.36944785246702,0.166666666666667,143.124300528286,0.677,2.61918191383971,0,0.15909,4.97644934730429,51.837234699698,1.814,0,0,0,0,0,0,5573.2702262119,5.81413053182507,18,0,0,0,0
DTXSID9059204,NaN,0,[0:15.46],1,0.455,0.404,6190-65-4,1698-60-8,1007-28-9,149-30-4|2492-26-4|,66215-27-8,DFWFIQKMSFGDCQ-UHFFFAOYSA-N,KPDZMYAYZCKXQP-UHFFFAOYSA-N,IVENSCMCQBJAKW-UHFFFAOYSA-N,YXIWHUQXZSMYRE-UHFFFAOYSA-N,LVQDKIWDGQRHTE-UHFFFAOYSA-N,DTXSID5037494,DTXSID3034872,DTXSID0037495,DTXSID1020807| DTXSID1026035,DTXSID6023999,0,1.87,0,39.44,0,6.75,1.87,6.43,39.4,4.74,0,0,0,0,8.77728778882341,0.404267290249433,0.003,1,0,0.983724805165033,4.36944785246702,0.166666666666667,142.525984219683,0.677,2.61918191383971,0,0.13636,5.0320896102985,48.595697811698,2.21,0,0,0,0,0,0,4739.41909530688,5.81413053182507,18,0,0,0,0
DTXSID4059205,NaN,2.31,[0.65:5.28],1,0.34,0.568,938-73-8,50-78-2,1918-00-9,59-67-6,120-36-5,SBNKFTQSBPKMBZ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,IWEDIXLBFLAXBO-UHFFFAOYSA-N,PVNIIMVLHYAWGP-UHFFFAOYSA-N,MZHCENGPTKEIGP-UHFFFAOYSA-N,DTXSID4020581,DTXSID5020108,DTXSID4024018,DTXSID1020932,DTXSID0020440,1.3,8.57,0.65,3.54,2.23,2.86,1.59,3.88,3.67,3.9,7.94318580637309,7.94318580637309,0.766736111111111,0,8.03454066491691,4.85597694633409,0.591,1,0,0.911772043438253,4.36944785246702,0.333333333333333,145.156627209287,0.676,2.61918191383972,0,0.13636,4.36484592730063,45.641490107698,1.552,0,0,0,0,0,0,5078.0014379768,5.81413053182507,18,0,0,0,0
DTXSID80889259,NaN,3.44,[0.51:16.81],1,0.257,0.365,7378-99-6,111-76-2,300-62-9,3600-87-1,924-16-3,UQKAOOAFEFCDGT-UHFFFAOYSA-N,POAOYUHQDCAZBD-UHFFFAOYSA-N,KWTSXDURSIMDCE-UHFFFAOYSA-N,VFRCNXKYZVQYLX-UHFFFAOYSA-N,YGJHZCLPZAZIHH-UHFFFAOYSA-N,DTXSID2036299,DTXSID1024097,DTXSID4022600,?,DTXSID2021026,35.14,0.85,0.51,3,11.12,9.27,8.23,27.01,7,78.08,0,0,0.852295918367347,1,8.2599254066255,5.6072515117158,0.281,0,1,1.21779570622304,4.07753744390572,0,151.249623149648,0.901,2.57166185477436,0,-0.5,5.71051457976931,68.612502873772,1.499,0,0,0,0,0,0,12280.2327995362,5.40717177146012,5,0,0,0,0
DTXSID7030698,NaN,22.56,[2:93.72],0,0.016,0.211,57-24-9,114-07-8,126-14-7,1260-17-9,53123-88-9,QMGVPVSNSZLJIA-UHFFFAOYSA-N,ULGZDMOVFRHVEP-UHFFFAOYSA-N,ZIJKGAXBCRWEOL-UHFFFAOYSA-N,DGQLVPJVXFOQEV-UHFFFAOYSA-N,QFJCIRLUMZQUOT-UHFFFAOYSA-N,DTXSID6023600,DTXSID4022991,DTXSID3042423,DTXSID9022817,DTXSID5023582,2,4.04,194,88.8,50.12,25.44,29.06,42.01,34.68,26.82,0,0,4.96681655044789,0,9.69246212496557,5.62936564540269,3.543,0,0,1.00268473654274,6.3578422665081,27.5248961719366,151.58117015608,9.49,3.67732187657801,4.31485824384102,-0.70455,23.9720639238258,406.092398762942,-11.796,0,1.15628705742979,0,0,0,64,71394.486355221,7.94058382710424,276,0,0,0,42
DTXSID2026652,NaN,13.36,[1.85:169.81],1,0.554,0.398,99-62-7,90-12-0,4904-61-4,95-63-6,2675-77-6,UNEATYXSUBPPKP-UHFFFAOYSA-N,QPUYECUOLPXSFR-UHFFFAOYSA-N,ZOLLIQAKMYWTBR-MOLCZBCNSA-N,GWHJZXXIDMPWGX-UHFFFAOYSA-N,PFIADAMVCJPXSF-UHFFFAOYSA-N,DTXSID8026640,DTXSID9020877,DTXSID8027581,DTXSID6021402,DTXSID2024793,7.79,443,17.28,1.85,6.31,23.53,5.53,2.5,23.73,27.32,0,0,0,0,9.07376793044974,0,0.003,0,0,0.992351046698873,4.48863636973214,0,142.59127106374,0.152,2.61918191383972,0,0,7.2462548509128,92.5998530678858,4.832,0,0,0,0,0,0,12443.3593088496,5.95324333428778,20,0,0,0,0
DTXSID6026080,NaN,0,[0:8.45],1,0.265,0.356,5116-94-9,54-62-6,59-05-2,59-30-3,81-90-3,GAJQCIFYLSXSEZ-UHFFFAOYSA-N,TVZGACDUOSZQKY-UHFFFAOYSA-N,FBOZXECLQNJBKD-UHFFFAOYSA-N,OVBPIULPVIDEAO-UHFFFAOYSA-N,FFFPYJTVNSSLBQ-UHFFFAOYSA-N,DTXSID0042169,DTXSID3022588,DTXSID4020822,DTXSID0022519,DTXSID5022439,18.8,0,0,0,1.85,0,0,0,0,1.85,7.96761743512002,7.96761743512002,1.54192247732426,0,8.10486126463648,8.46688444822373,1.179,2,0,1.51292686905859,4.48863636973214,0,145.03260592355,0.788,2.61918191383971,0,0.16667,4.04759311450711,47.785402121698,1.252,0,0,0,0,0,0,5169.1154296725,5.95324333428778,20,0,0,0,4
DTXSID0021836,NaN,23.35,[15.56:31.14],1,0.344,0.62,528-29-0,606-20-2,98-95-3,99-08-1,99-99-0,IZUKQUVSCNEFMJ-UHFFFAOYSA-N,XTRDKALNCIHHNI-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,QZYHIOPPLUPUJF-UHFFFAOYSA-N,ZPTVNYMJQHSSEA-UHFFFAOYSA-N,DTXSID4024066,DTXSID5020528,DTXSID3020964,DTXSID5021831,DTXSID5023792,24.2,34.64,8.17,16.82,19.32,38.99,45.98,63.52,60.18,64.78,0,0,0,2,7.60002222428042,10.1177815570673,0.003,2,0,2.17092207479162,4.48863636973214,0,155.767336366975,-0.326,2.61918191383971,0,0.375,3.039964512547,39.160889489698,1.806,0,0,0,0,0,0,4808.4275098745,5.95324333428778,20,2,0,0,0
DTXSID80883636,NaN,17.59,[0.6:424.42],1,0.278,0.1,111-76-2,828-00-2,111-11-5,637-92-3,924-16-3,POAOYUHQDCAZBD-UHFFFAOYSA-N,PHMNXPYGVPEQSJ-UHFFFAOYSA-N,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,NUMQCACRALPSHD-UHFFFAOYSA-N,YGJHZCLPZAZIHH-UHFFFAOYSA-N,DTXSID1024097,DTXSID6020480,DTXSID2026864,DTXSID0025604,DTXSID2021026,0.85,863,817,0.6,11.12,8.23,98.31,79.34,1.31,78.08,0,0,0,0,6.12737970724357,4.7825462962963,0.003,0,0,1.19786440979798,3.93182563272433,0,150.016152086656,0.742,2.66622980626041,0,-0.6,4.97765033384,41.814012543886,0.063,0,0,0,0,0,0,6824.50520386329,5.05624580534831,5,0,0,0,0
DTXSID30893604,NaN,21.78,[4.27:41.19],1,0.342,0.49,65277-42-1,CHEMBL2336322,CHEMBL2336319,1268524-70-4,CHEMBL1957840,XMAYWYJOQHXEEK-UHFFFAOYSA-N,RCFKHMOMPCIKFL-UHFFFAOYSA-N,CFCQWFUOZMHDHH-UHFFFAOYSA-N,DNVXATUJJDPFDM-UHFFFAOYSA-N,YGCPMTVIAJZRNZ-UHFFFAOYSA-N,DTXSID7029879,?,?,DTXSID20155309,?,55,4.27,38.02,16.6,24.55,13.84,26.11,8.91,30.81,13.69,0,0,0,5,11.6905187857991,-1.5275240965315,0.003,1,0,0.890881465880209,5.78996017089725,0.0909090909090909,149.752360304679,2.533,3.6435994433948,0,-0.12838,16.7001659220184,200.698846563584,4.27,0,0,0,0,0,0,25755.2125655019,7.32843735289516,121,0,0,0,0
DTXSID90143117,NaN,10.96,[4.41:25.42],1,0.297,0.521,142-04-1,87-62-7,90-05-1,120-71-8,95-69-2,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,UFFBMTHBGFGIHF-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,WXWCDTXEKCVRRO-UHFFFAOYSA-N,CXNVOWPRHWWCQR-UHFFFAOYSA-N,DTXSID3020091,DTXSID8026307,DTXSID0023113,DTXSID1020350,DTXSID1041508,4.41,8.96,44.9,19.53,8.06,16.42,18.37,58.76,16.79,35.29,0,0,0,2,7.15026211354927,4.6412037037037,0.003,0,0,0.946688786858213,4.04305126783455,0,149.211241220133,0.377,1.86509011873614,0,0.34375,2.40805698893067,22.03037845,0.138,0,0,0,0,0,0,2319.08992706165,5.4510384535657,6,0,0,0,0
DTXSID7057606,NaN,3.37,[0.04:16.46],0,0.2,0.39,7378-99-6,533-74-4,54-11-5,3600-87-1,872-50-4,UQKAOOAFEFCDGT-UHFFFAOYSA-N,QAYICIQNSGETAS-UHFFFAOYSA-N,SNICXCGAKADSCV-UHFFFAOYSA-N,VFRCNXKYZVQYLX-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,DTXSID2036299,DTXSID7024902,DTXSID1020930,?,DTXSID6020856,35.14,12.42,4.44,3,0.04,9.27,51.21,3.73,7,2.7,0,0,0.451666666666667,2,8.18225462267525,2.30555555555556,0.025,0,2,0.67960655650603,3.76120011569356,0,155.391926173183,1.205,2.3484864345641,0,-0.5625,4.43837154586133,49.7600014369801,0.133,0,0,0,0,0,0,8349.09574989179,5.03043792139244,2,0,0,0,0
DTXSID5021837,NaN,1.53,[0.04:15.06],1,0.242,0.353,111-76-2,7378-99-6,872-50-4,637-92-3,924-16-3,POAOYUHQDCAZBD-UHFFFAOYSA-N,UQKAOOAFEFCDGT-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,NUMQCACRALPSHD-UHFFFAOYSA-N,YGJHZCLPZAZIHH-UHFFFAOYSA-N,DTXSID1024097,DTXSID2036299,DTXSID6020856,DTXSID0025604,DTXSID2021026,0.85,35.14,0.04,0.6,11.12,8.23,9.27,2.7,1.31,78.08,0,0,0.672083333333333,1,8.02737939748165,2.18055555555556,0.259,0,1,0.964643487273039,3.76120011569356,0,152.436423638716,1.03,2.2904092206613,0,-0.5625,4.35765966095131,47.032022689282,0.2,0,0,0,0,0,0,7760.98931980699,5.03043792139244,2,0,0,0,0
DTXSID10143255,NaN,23.47,[2.09:56.85],0,0.102,0.38,69-74-9,117-39-5,52479-85-3,1260-17-9,186392-65-4,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,UMVWYQXKBPJMOF-UHFFFAOYSA-N,XEDWWPGWIXPVRQ-UHFFFAOYSA-N,DGQLVPJVXFOQEV-UHFFFAOYSA-N,GVDRRZOORHCTAN-UHFFFAOYSA-N,DTXSID5024891,DTXSID4021218,DTXSID9044950,DTXSID9022817,DTXSID4047252,16.8,75.2,28.1,88.8,2.09,4.64,31.39,34.49,34.68,3,0,0,4.22044767597122,0,8.96904463950568,4.76249622071051,0.849,2,0,1.00099494895743,5.08140436498446,2.47351898983676,153.028485987041,3.532,3.24607401049751,6.9501610187983,-0.47826,8.2127103322132,115.157366138678,-5.632,0,4.17309918956345,0,0,0,0,21329.8871831301,6.55819780281227,32,0,0,0,8
DTXSID3021437,NaN,14.15,[1.02:50.77],1,0.238,0.377,94-59-7,100-42-5,93-15-2,97-53-0,35554-44-0,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,RRAFCDWBNXTKKO-UHFFFAOYSA-N,PZBPKYOVPCNPJY-UHFFFAOYSA-N,DTXSID0021254,DTXSID2021284,DTXSID5025607,DTXSID9020617,DTXSID8024151,14.12,8.52,26.56,103.62,1.02,18.27,17.82,15.4,11.07,25.67,0,0,0,0,8.70277149592688,0,0.003,0,0,0.636160714285714,3.97029191355212,0,142.59127106374,0.144,2.49644733097239,0,-0.25,4.8308365672752,56.7018028475841,3.605,0,0,0,0,0,0,7262.51450641453,5.34233425196481,10,0,3.75046296296296,0,0
DTXSID3020596,2,2.01,[1.85:2.68],1,1,0.876,100-41-4,95-63-6,108-88-3,91-22-5,91-20-3,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,GWHJZXXIDMPWGX-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,SMWDFEZZVXVKRB-UHFFFAOYSA-N,UFWIBTONFRDIAS-UHFFFAOYSA-N,DTXSID3020596,DTXSID6021402,DTXSID7021360,DTXSID1021798,DTXSID8020913,2,1.85,3.5,38.6,10.39,8.84,23.73,8.95,14.01,14.94,0,0,0,0,8.15291271018657,0,0.003,0,0,0.8765625,3.97029191355212,0,141.421129213833,0.124,2.4489401845993,0,0.25,4.47299682155111,45.12577093849,2.923,0,0,0,0,0,0,4769.05269100909,5.34233425196481,10,0,0,0,0
DTXSID20143261,NaN,10.07,[3:20.48],1,0.211,0.467,99-59-2,99-30-9,99-55-8,443-48-1,13311-84-7,NIPDVSLAMPAWTP-UHFFFAOYSA-N,BIXZHMJUSMUDOQ-UHFFFAOYSA-N,DSBIJCMXAIKKKI-UHFFFAOYSA-N,VAOCPAMSLUNLGC-UHFFFAOYSA-N,MKXKFYHWDHIYRV-UHFFFAOYSA-N,DTXSID0020943,DTXSID2020426,DTXSID4020959,DTXSID2020892,DTXSID7032004,12.03,4.43,22.4,3,30.38,12.73,20.85,10.59,13.95,4.84,0,0,1.11640396667926,2,9.09500979176208,2.77981481481481,0.205,1,0,1.20517636436108,4.61512051684126,0,152.637547733325,0.572,2.86796099324594,0,0.07143,5.40690183317815,67.384587515641,2.146,0.4375,0,1,1,0,0,9123.27264141104,6.06610809010375,29,1,0,0,1
DTXSID2021284,8.52,8.52,[7.32:9.72],1,1,0.917,100-42-5,94-59-7,97-53-0,93-15-2,35554-44-0,PPBRXRYQALVLMV-UHFFFAOYSA-N,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,RRAFCDWBNXTKKO-UHFFFAOYSA-N,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,PZBPKYOVPCNPJY-UHFFFAOYSA-N,DTXSID2021284,DTXSID0021254,DTXSID9020617,DTXSID5025607,DTXSID8024151,8.52,14.12,103.62,26.56,1.02,17.82,18.27,11.07,15.4,25.67,0,0,0,0,8.31983006456324,0,0.003,0,0,0.882352941176471,3.97029191355212,0,139.95845190145,0.16,2.40578456053658,0,0.4375,4.025697139396,40.006686389094,2.959,0,0,0,0,0,0,3786.727196109,5.34233425196481,10,0,3.63092592592593,0,0
DTXSID9029302,NaN,105.92,[9.47:491],1,0.27,0.238,104-67-6,111-11-5,105-87-3,39905-57-2,2785-87-7,PHXATPHONSXBIL-UHFFFAOYSA-N,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,HIGQPQRQIQDZMP-UHFFFAOYSA-N,DJRKHTCUXRGYEU-UHFFFAOYSA-N,PXIKRTCSSLJURC-UHFFFAOYSA-N,DTXSID4034287,DTXSID2026864,DTXSID0020654,DTXSID4022288,DTXSID2047199,9.47,817,823,79.3,24.6,451.33,79.34,117.96,57.39,30.25,0,0,0.542300170068027,0,8.74178753598468,8.95646636432351,0.348,0,0,1.22372574002757,4.11087386417331,0,146.726572246627,0.395,2.80044116309305,0,-0.47727,6.94999282392297,82.7318520305639,3.993,0,0,0,0,0,0,13983.1040033804,5.36129216570943,7,0,0,0,0
DTXSID0051499,NaN,0,[0:3.11],1,0.66,0.555,142-04-1,95-53-4,95-80-7,496-72-0,100-54-9,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,RNVCVTLRINQCPJ-UHFFFAOYSA-N,VOZKAJLKRJDJLL-UHFFFAOYSA-N,DGRGLKZMKWPMOH-UHFFFAOYSA-N,GZPHSAQLYPIAIN-UHFFFAOYSA-N,DTXSID3020091,DTXSID1026164,DTXSID4020402,DTXSID9024930,DTXSID1026665,4.41,0,0,8.27,0,0,10.97,0,0,0,0,0,0,1,8.23490246052961,0,0.003,0,0,0.907006048387096,3.97029191355212,0,143.996041532687,0.448,2.34824704512667,0,0.375,3.52685120610293,35.178327939396,1.707,0,0,0,0,0,0,3300.6333144876,5.34233425196481,10,0,3.60314814814815,0,0
DTXSID0020153,NaN,27.13,[2:116.87],1,0.346,0.307,108-90-7,541-73-1,1194-65-6,100-41-4,91-20-3,MVPPADPHJFYWMZ-UHFFFAOYSA-N,ZPQOPVIELGIULI-UHFFFAOYSA-N,YOYAIZYFCNQIRF-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,UFWIBTONFRDIAS-UHFFFAOYSA-N,DTXSID4020298,DTXSID6022056,DTXSID5032365,DTXSID3020596,DTXSID8020913,174.13,200,7.04,2,10.39,32.77,40.67,55.49,8.84,14.94,0,0,0,0,8.49866000519182,1.11912208504801,0.003,0,0,1.82951859062974,3.97029191355212,0,140.36251538062,0.124,2.57606187328331,0,0.21875,4.47760386210293,40.820860579396,2.485,0,0,0,0,0,0,3935.20156010407,5.34233425196481,10,0,0,0,0
DTXSID5021839,NaN,5.17,[0.51:21.23],1,0.337,0.386,300-62-9,90-05-1,120-71-8,142-04-1,87-62-7,KWTSXDURSIMDCE-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,WXWCDTXEKCVRRO-UHFFFAOYSA-N,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,UFFBMTHBGFGIHF-UHFFFAOYSA-N,DTXSID4022600,DTXSID0023113,DTXSID1020350,DTXSID3020091,DTXSID8026307,0.51,44.9,19.53,4.41,8.96,27.01,58.76,16.79,16.42,18.37,0,0,0.489027777777778,1,8.07019031960677,5.34981481481482,0.18,0,1,1.20479765843726,3.97029191355212,0,148.138759627229,0.61,2.38942504571681,0,0.21875,3.962826158184,41.219200818792,1.144,0,0,0,0,0,0,4625.57270125009,5.34233425196481,10,0,0,0,0
DTXSID7021491,NaN,52.41,[6.98:134.73],1,0.282,0.338,541-73-1,108-90-7,87-61-6,1194-65-6,626-43-7,ZPQOPVIELGIULI-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,RELMFMZEBKVZJC-UHFFFAOYSA-N,YOYAIZYFCNQIRF-UHFFFAOYSA-N,UQRLKWGPEVNVHT-UHFFFAOYSA-N,DTXSID6022056,DTXSID4020298,DTXSID8026193,DTXSID5032365,DTXSID7030307,200,174.13,6.98,7.04,86.1,40.67,32.77,55.81,55.49,63.03,0,0,0,1,7.71043941050065,0,0.003,0,0,3.04915730337079,3.97029191355212,0,139.756273648039,0.249,2.3382251481147,0,0.59375,2.95673011492,32.759483339396,1.745,0,0,0,0,0,0,2660.9217114499,5.34233425196481,10,0,0,0,0
DTXSID9041528,NaN,0,[0:3.13],1,0.65,0.592,100-54-9,90-04-0,142-04-1,496-72-0,95-80-7,GZPHSAQLYPIAIN-UHFFFAOYSA-N,VMPITZXILSNTON-UHFFFAOYSA-N,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,DGRGLKZMKWPMOH-UHFFFAOYSA-N,VOZKAJLKRJDJLL-UHFFFAOYSA-N,DTXSID1026665,DTXSID5023877,DTXSID3020091,DTXSID9024930,DTXSID4020402,0,0,4.41,8.27,0,0,0,0,0,0,0,0,0,2,7.62414619987341,0,0.003,0,0,1.62798826040555,3.97029191355212,0,144.7864124993,0.537,2.27751367062511,0,0.53125,2.46286077293067,27.931124889698,0.493,0,0,0,0,0,0,2174.8278298285,5.34233425196481,10,0,0,0,0
DTXSID1026661,NaN,81.35,[16.13:424.83],1,0.247,0.361,136-60-7,88-18-6,95-87-4,4940-11-8,579-66-8,XSIFPSYPOVKYCO-UHFFFAOYSA-N,WJQOZHYUIDYNHM-UHFFFAOYSA-N,NKTOLZVEWDHZMU-UHFFFAOYSA-N,BDTOBOMFWCKGRG-UHFFFAOYSA-N,FOYHNROGBXVLLX-UHFFFAOYSA-N,DTXSID8040694,DTXSID2026525,DTXSID6025145,DTXSID5041516,DTXSID6027218,864,59.7,33.8,81,16.13,101.57,35.57,45.96,103.6,65.48,0,0,0,0,8.05857457717881,10.1260185185185,0.003,1,0,2.17493040281333,3.97029191355212,0,142.896072120778,0.459,2.42328171116273,0,-0.21875,4.21702651488444,50.1075920938861,1.731,0,0,0,0,0,0,6461.53387209743,5.34233425196481,10,0,0,0,0
DTXSID5020152,NaN,32.07,[5.5:62.19],1,0.399,0.552,95-87-4,526-75-0,90-05-1,108-95-2,2416-94-6,NKTOLZVEWDHZMU-UHFFFAOYSA-N,QWBBPBRQALCEIZ-UHFFFAOYSA-N,LHGVFZTZFXWLCP-UHFFFAOYSA-N,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,QQOMQLYQAXGHSU-UHFFFAOYSA-N,DTXSID6025145,DTXSID6025143,DTXSID0023113,DTXSID5021124,DTXSID6022187,33.8,40.7,44.9,5.5,106,45.96,35.27,58.76,23.61,39.32,0,0,0.692083333333333,0,7.7651490669496,8.53759259259259,0.348,0,0,1.48805031306103,3.97029191355212,0,143.621620733216,0.564,2.3248628780886,0,0.21875,3.861248463396,38.221110699094,1.211,0,0,0,0,0,0,4273.78390277399,5.34233425196481,10,0,0,0,0
DTXSID8039241,NaN,39.7,[9.13:97.49],1,0.254,0.452,119-61-9,148-24-3,108-44-1,95-87-4,108-90-7,RWCCWEUUXYIKHB-UHFFFAOYSA-N,MCJGNVYPOGVAJF-UHFFFAOYSA-N,JJYPMNFTHPTTDI-UHFFFAOYSA-N,NKTOLZVEWDHZMU-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,DTXSID0021961,DTXSID5020730,DTXSID1026792,DTXSID6025145,DTXSID4020298,9.13,69.68,32.9,33.8,174.13,36.64,22.91,81.49,45.96,32.77,0,0,0,0,7.68053947730529,10.0064814814815,0.003,1,0,2.33651929288642,3.97029191355212,0,139.9742219516,0.475,2.3275418402308,0,0.40625,3.40381954005371,33.991251959396,1.718,0,0,0,0,0,0,3291.45840787389,5.34233425196481,10,0,0,0,0
